path,sz,dt,latlong
/mnt/4C74F47B74F468DA/Pictures/IMG_3566-2019-04-08 034350.JPG,1371710,2019:03:30 12:15:50,"(35.99402222222222, -86.78599444444444)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3567-2015-01-19 172455.JPG,2674266,2015:01:19 11:24:55,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3568-2015-01-20 040459.JPG,993269,2015:01:19 22:04:59,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3568-2020-01-09 044729.JPG,1811001,2019:03:30 12:24:37,"(35.99403888888889, -86.7861861111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3569-2015-01-20 040518.JPG,1503600,2015:01:19 22:05:18,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3569-2019-04-25 034916.JPG,1799918,2019:03:30 12:24:42,"(35.99402222222222, -86.78617777777778)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3570-2015-01-20 040523.JPG,1599622,2015:01:19 22:05:23,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3570-2019-03-30 180719.JPG,1520328,2019:03:30 13:07:19,"(35.99420277777778, -86.78569722222223)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3572-2019-04-25 034916.JPG,1249463,2019:03:30 13:08:26,"(35.99418888888889, -86.78575)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3573-2019-03-30 180827.JPG,1251700,2019:03:30 13:08:27,"(35.99418888888889, -86.78575)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3576-2019-04-02 032951.JPG,2301964,2019:03:30 13:08:30,"(35.99418611111111, -86.78571388888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3717-2015-01-23 220540.JPG,1624275,2015:01:23 16:05:40,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3717-2020-11-03 131029.JPG,4065593,2019:05:18 17:23:13,"(35.958022222222226, -86.79956944444444)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3718-2015-01-23 220543.JPG,1781239,2015:01:23 16:05:43,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3718-2019-05-22 050732.JPG,1474971,2019:05:19 17:24:04,"(35.95516944444445, -86.79774444444445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3719-2020-11-03 131034.JPG,1635638,2019:05:19 17:24:15,"(35.95508055555556, -86.79766111111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3720-2015-01-27 203457.JPG,1697084,2015:01:27 14:34:57,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3720-2020-11-03 131034.JPG,2292910,2019:05:20 11:41:55,"(36.152141666666665, -86.81603333333334)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3721-2015-01-28 223135.JPG,3631614,2015:01:28 16:31:35,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3723-2020-11-03 131034.JPG,3795985,2019:05:21 21:52:21,"(35.95529444444445, -86.79734166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3724-2019-05-22 050729.JPG,3592855,2019:05:21 21:56:46,"(35.95523333333334, -86.79735555555555)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3725-2015-01-29 014656.JPG,323207,2015:01:28 19:46:56,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3812-2015-02-05 173033.JPG,3402400,2015:02:05 11:30:33,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3815-2020-03-28 040527.JPG,2169705,2018:12:07 14:20:02,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3817-2020-11-03 131033.JPG,2309465,2019:06:12 18:40:15,"(35.94800277777777, -86.82376944444444)"
